vendor_id,evidence_family,source_id,raw_strength,context_factor,persistence,adjusted_strength,family_weight,explanation
V0042,cooccurrence,relationship:0,0.7127003899916967,0.5671911393497869,1.0,0.5738920202919258,1.0,conditional co-bidding 4.22x expected; persistence=1.00
V0043,cooccurrence,relationship:0,0.7127003899916967,0.5671911393497869,1.0,0.5738920202919258,1.0,conditional co-bidding 4.22x expected; persistence=1.00
V0071,cooccurrence,relationship:1,0.6334577605914256,0.5236525991619583,1.0,0.49767207958214016,1.0,conditional co-bidding 8.02x expected; persistence=1.00
V0074,cooccurrence,relationship:1,0.6334577605914256,0.5236525991619583,1.0,0.49767207958214016,1.0,conditional co-bidding 8.02x expected; persistence=1.00
V0071,cooccurrence,relationship:2,0.60829096417636,0.5189800108689668,1.0,0.4766209133368818,1.0,conditional co-bidding 6.59x expected; persistence=1.00
V0073,cooccurrence,relationship:2,0.60829096417636,0.5189800108689668,1.0,0.4766209133368818,1.0,conditional co-bidding 6.59x expected; persistence=1.00
V0072,cooccurrence,relationship:3,0.6015126570815915,0.5132121092162912,1.0,0.469748572152388,1.0,conditional co-bidding 6.24x expected; persistence=1.00
V0074,cooccurrence,relationship:3,0.6015126570815915,0.5132121092162912,1.0,0.469748572152388,1.0,conditional co-bidding 6.24x expected; persistence=1.00
V0073,cooccurrence,relationship:4,0.6102097000869678,0.5044829127002826,1.0,0.4741435001338601,1.0,conditional co-bidding 6.69x expected; persistence=1.00
V0074,cooccurrence,relationship:4,0.6102097000869678,0.5044829127002826,1.0,0.4741435001338601,1.0,conditional co-bidding 6.69x expected; persistence=1.00
V0072,cooccurrence,relationship:5,0.5944935737833479,0.4979454450226732,1.0,0.46018288080314224,1.0,conditional co-bidding 4.34x expected; persistence=1.00
V0073,cooccurrence,relationship:5,0.5944935737833479,0.4979454450226732,1.0,0.46018288080314224,1.0,conditional co-bidding 4.34x expected; persistence=1.00
V0001,cooccurrence,relationship:6,0.5838644991825612,0.48275941275453477,1.0,0.4479652117895259,1.0,conditional co-bidding 5.42x expected; persistence=1.00
V0024,cooccurrence,relationship:6,0.5838644991825612,0.48275941275453477,1.0,0.4479652117895259,1.0,conditional co-bidding 5.42x expected; persistence=1.00
V0071,cooccurrence,relationship:7,0.5789689496422079,0.4787226824764035,1.0,0.443157428192683,1.0,conditional co-bidding 5.21x expected; persistence=1.00
V0072,cooccurrence,relationship:7,0.5789689496422079,0.4787226824764035,1.0,0.443157428192683,1.0,conditional co-bidding 5.21x expected; persistence=1.00
V0001,cooccurrence,relationship:8,0.5712822032611882,0.4723844110319397,1.0,0.43564437499790787,1.0,conditional co-bidding 4.89x expected; persistence=1.00
V0091,cooccurrence,relationship:8,0.5712822032611882,0.4723844110319397,1.0,0.43564437499790787,1.0,conditional co-bidding 4.89x expected; persistence=1.00
V0024,cooccurrence,relationship:9,0.562574580147204,0.4652043538013802,1.0,0.4271864838910705,1.0,conditional co-bidding 4.55x expected; persistence=1.00
V0091,cooccurrence,relationship:9,0.562574580147204,0.4652043538013802,1.0,0.4271864838910705,1.0,conditional co-bidding 4.55x expected; persistence=1.00
V0051,cooccurrence,relationship:10,0.5741028872245829,0.44909470190385564,0.7667,0.41163175544348574,1.0,conditional co-bidding 5.39x expected; persistence=0.77
V0052,cooccurrence,relationship:10,0.5741028872245829,0.44909470190385564,0.7667,0.41163175544348574,1.0,conditional co-bidding 5.39x expected; persistence=0.77
V0052,cooccurrence,relationship:11,0.5661368025988661,0.45292245658436414,0.7667,0.40684973654133516,1.0,conditional co-bidding 5.05x expected; persistence=0.77
V0053,cooccurrence,relationship:11,0.5661368025988661,0.45292245658436414,0.7667,0.40684973654133516,1.0,conditional co-bidding 5.05x expected; persistence=0.77
V0051,cooccurrence,relationship:12,0.4904742277653973,0.45402149848740814,0.433,0.32801491880986544,1.0,conditional co-bidding 4.69x expected; persistence=0.43
V0053,cooccurrence,relationship:12,0.4904742277653973,0.45402149848740814,0.433,0.32801491880986544,1.0,conditional co-bidding 4.69x expected; persistence=0.43
V0020,cooccurrence,relationship:13,0.5257698485891615,0.40387538848956545,1.0,0.38472889255881026,1.0,conditional co-bidding 1.26x expected; persistence=1.00
V0050,cooccurrence,relationship:13,0.5257698485891615,0.40387538848956545,1.0,0.38472889255881026,1.0,conditional co-bidding 1.26x expected; persistence=1.00
V0016,cooccurrence,relationship:14,0.4978451182444725,0.42391349250816396,0.8667,0.3589524943032112,1.0,conditional co-bidding 4.53x expected; persistence=0.87
V0122,cooccurrence,relationship:14,0.4978451182444725,0.42391349250816396,0.8667,0.3589524943032112,1.0,conditional co-bidding 4.53x expected; persistence=0.87
V0020,cooccurrence,relationship:15,0.5255579693322145,0.39951810546643807,1.0,0.38354334903189563,1.0,conditional co-bidding 1.06x expected; persistence=1.00
V0277,cooccurrence,relationship:15,0.5255579693322145,0.39951810546643807,1.0,0.38354334903189563,1.0,conditional co-bidding 1.06x expected; persistence=1.00
V0052,cooccurrence,relationship:16,0.4828537369245794,0.4276806892725586,0.7667,0.3417702963415205,1.0,conditional co-bidding 4.72x expected; persistence=0.77
V0391,cooccurrence,relationship:16,0.4828537369245794,0.4276806892725586,0.7667,0.3417702963415205,1.0,conditional co-bidding 4.72x expected; persistence=0.77
V0020,cooccurrence,relationship:17,0.5291527160286111,0.38622828640105056,1.0,0.38300217985602264,1.0,conditional co-bidding 1.14x expected; persistence=1.00
V0481,cooccurrence,relationship:17,0.5291527160286111,0.38622828640105056,1.0,0.38300217985602264,1.0,conditional co-bidding 1.14x expected; persistence=1.00
V0307,cooccurrence,relationship:18,0.4800848368206208,0.39960746593250407,1.0,0.3503771285348701,1.0,conditional co-bidding 1.17x expected; persistence=1.00
V0355,cooccurrence,relationship:18,0.4800848368206208,0.39960746593250407,1.0,0.3503771285348701,1.0,conditional co-bidding 1.17x expected; persistence=1.00
V0007,cooccurrence,relationship:19,0.460993381911234,0.41123857939466385,0.7667,0.32304553066212627,1.0,conditional co-bidding 3.92x expected; persistence=0.77
V0278,cooccurrence,relationship:19,0.460993381911234,0.41123857939466385,0.7667,0.32304553066212627,1.0,conditional co-bidding 3.92x expected; persistence=0.77
V0295,cooccurrence,relationship:20,0.4810318636941544,0.3930890129185006,1.0,0.3496572782486318,1.0,conditional co-bidding 1.17x expected; persistence=1.00
V0355,cooccurrence,relationship:20,0.4810318636941544,0.3930890129185006,1.0,0.3496572782486318,1.0,conditional co-bidding 1.17x expected; persistence=1.00
