tender_id,vendor_id,economic_strength,economic_tail_strength,bid_count,peer_count,spread_z,cv_z,compression_signal,sample_confidence,peer_confidence,category,region,procurement_method,economic_persistence,economic_evidence,evidence_family,explanation,evidence
T00001,V0022,0.022494588126199012,0.0,2,51,-0.13304138645960173,-2.690305583277523,0.0,0.24421625854427453,0.9998231130977574,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,0.0,0.01687094109464926,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-0.13; bids=2; peer_count=51; persistence=0.00
T00001,V0264,0.022494588126199012,0.0,2,51,-0.13304138645960173,-2.690305583277523,0.0,0.24421625854427453,0.9998231130977574,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,0.0,0.01687094109464926,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-0.13; bids=2; peer_count=51; persistence=0.00
T00002,V0088,0.09083534527950209,0.202552574517188,4,8,0.4089179674079732,0.2875108653788381,0.34821441639340567,0.5682894765709203,0.5934303402594008,WATER_INFRASTRUCTURE,TN-NORTH,OPEN,0.0,0.06812650895962656,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.35; spread_z=0.41; bids=4; peer_count=8; persistence=0.00
T00002,V0346,0.09083534527950209,0.202552574517188,4,8,0.4089179674079732,0.2875108653788381,0.34821441639340567,0.5682894765709203,0.5934303402594008,WATER_INFRASTRUCTURE,TN-NORTH,OPEN,0.0,0.06812650895962656,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.35; spread_z=0.41; bids=4; peer_count=8; persistence=0.00
T00002,V0483,0.09083534527950209,0.202552574517188,4,8,0.4089179674079732,0.2875108653788381,0.34821441639340567,0.5682894765709203,0.5934303402594008,WATER_INFRASTRUCTURE,TN-NORTH,OPEN,0.0,0.06812650895962656,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.35; spread_z=0.41; bids=4; peer_count=8; persistence=0.00
T00002,V0342,0.09083534527950209,0.202552574517188,4,8,0.4089179674079732,0.2875108653788381,0.34821441639340567,0.5682894765709203,0.5934303402594008,WATER_INFRASTRUCTURE,TN-NORTH,OPEN,0.0,0.06812650895962656,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.35; spread_z=0.41; bids=4; peer_count=8; persistence=0.00
T00003,V0153,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00003,V0019,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00003,V0401,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00003,V0547,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00003,V0185,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00003,V0114,0.05147912257335762,0.0,6,15,-1.7550773431389457,-2.8098887337999687,0.0,0.7534030360583935,0.8846748789619375,WATER_INFRASTRUCTURE,KA-BENGALURU,OPEN,0.0,0.038609341930018214,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.00; spread_z=-1.76; bids=6; peer_count=15; persistence=0.00
T00004,V0294,0.0392767790839458,0.06969223289370718,7,26,0.10238887626115509,0.11988747822659035,0.11113817724387272,0.81362602396059,0.9840771484954883,VEHICLE_SUPPLIES,KA-SOUTH,OPEN,0.0,0.029457584312959348,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.11; spread_z=0.10; bids=7; peer_count=26; persistence=0.00
T00004,V0115,0.0392767790839458,0.06969223289370718,7,26,0.10238887626115509,0.11988747822659035,0.11113817724387272,0.81362602396059,0.9840771484954883,VEHICLE_SUPPLIES,KA-SOUTH,OPEN,0.0,0.029457584312959348,economic,bid dispersion is unusually compressed relative to comparable procurements,compression=0.11; spread_z=0.10; bids=7; peer_count=26; persistence=0.00
